Time (ms), Pot (AU), Therm (AU)
77911,1023,1023
78111,1022,1023
78312,1023,1023
78513,1023,1023
78713,1023,1023
78914,1023,1023
79116,1023,1023
79316,1023,1023
79517,1023,1023
79718,1022,1023
79919,1023,1023
80119,1023,1023
80321,1023,1023
80522,1023,1022
80722,1023,1023
80923,1023,1023
81124,1023,1023
81325,1023,1023
81526,1023,1023
81727,1023,1022
81928,1023,1023
82128,1023,1023
82329,1022,1022
82530,1023,1022
82732,1023,1023
82932,1023,1023
83133,1023,1023
83334,1023,1023
83534,1022,1023
83736,1023,1023
83937,1023,1022
84137,1023,1023
84338,1023,1023
84539,1023,1023
84740,1023,1023
84941,1023,1022
85142,1023,1023
85343,1023,1022
85543,1023,1023
85744,1023,1023
85945,1023,1023
86147,1023,1023
86347,1022,1023
86548,1023,1023
86749,1023,1023
86949,1023,1023
87150,1023,1023
87352,1023,1023
87553,1023,1023
87753,1023,1023
87954,1023,1023
88155,1022,1023
88355,1022,1023
88557,1023,1023
88758,1023,1023
88958,1023,1023
89159,1023,1023
89360,1023,1023
89561,1023,1022
89762,1023,1023
89963,1023,1023
90164,1023,1023
90364,1023,1023
90565,1023,1023
90766,1022,1023
90968,1023,1023
91168,1023,1023
91369,1023,1023
