Time (ms), Resistance (Ohms)
411390,952.89
412391,964.63
413392,941.18
414393,988.19
415394,976.39
416395,964.63
417396,964.63
418397,1000.00
419398,964.63
420399,1011.84
421400,917.82
422401,964.63
423402,976.39
424402,976.39
425403,952.89
426404,952.89
427405,976.39
428406,964.63
429407,952.89
430408,952.89
431409,964.63
432410,976.39
433411,952.89
434412,964.63
435412,952.89
436414,964.63
437414,964.63
438416,964.63
439416,952.89
440418,906.18
441418,929.49
442419,964.63
443420,952.89
444421,964.63
445422,964.63
446423,941.18
447424,882.98
448424,929.49
449426,952.89
450426,952.89
451428,952.89
452428,988.19
453430,941.18
454430,941.18
455432,941.18
456432,964.63
457434,941.18
458434,964.63
459436,964.63
460436,894.57
461436,941.18
462438,941.18
463438,941.18
464440,941.18
465440,1000.00
466442,929.49
467442,917.82
468444,941.18
469444,929.49
470446,941.18
471446,929.49
472448,941.18
473448,941.18
474449,929.49
475450,941.18
476451,941.18
477452,941.18
478453,964.63
479454,894.57
480454,929.49
481456,929.49
482456,929.49
483458,929.49
484458,941.18
485459,917.82
486460,941.18
487461,941.18
488462,1000.00
489463,964.63
490464,941.18
491465,941.18
492466,1011.84
493467,941.18
494468,941.18
495469,941.18
496470,976.39
497471,952.89
498471,952.89
499473,952.89
500473,952.89
501474,952.89
502475,952.89
503476,917.82
504477,941.18
505478,941.18
506479,964.63
507480,941.18
508481,941.18
509481,1000.00
510483,894.57
511483,929.49
512485,941.18
513485,952.89
514487,952.89
515487,941.18
516489,929.49
517489,941.18
518491,952.89
519491,941.18
520492,941.18
521493,941.18
522493,941.18
523495,941.18
524495,941.18
525497,929.49
526497,941.18
527499,894.57
528499,917.82
529501,929.49
530501,906.18
531503,929.49
532503,929.49
533505,929.49
534505,917.82
535506,941.18
536507,929.49
537508,929.49
538509,929.49
539509,941.18
540511,917.82
541511,906.18
542513,917.82
543513,929.49
544515,906.18
545515,917.82
546516,929.49
547517,917.82
548518,917.82
549519,917.82
550520,906.18
551521,952.89
552522,917.82
553523,906.18
554524,917.82
555525,917.82
556526,917.82
557527,906.18
558527,976.39
559528,906.18
560529,917.82
561530,917.82
562531,988.19
563532,917.82
564533,894.57
565534,906.18
566535,917.82
567536,917.82
568537,871.41
569538,917.82
570539,917.82
571540,906.18
572540,929.49
573542,917.82
574542,917.82
575544,941.18
576544,906.18
577545,929.49
578546,906.18
579547,917.82
580548,894.57
581549,929.49
582550,894.57
583550,917.82
584552,917.82
585552,917.82
586554,917.82
587554,906.18
588556,917.82
589556,906.18
590558,917.82
591558,906.18
592560,906.18
593560,906.18
594562,929.49
595562,917.82
596562,929.49
597564,917.82
598564,929.49
599566,917.82
600566,871.41
601568,906.18
602568,917.82
603570,917.82
604570,882.98
605572,906.18
606572,894.57
607574,894.57
608574,917.82
609575,917.82
610576,906.18
611577,906.18
612578,906.18
613579,906.18
614580,906.18
615580,906.18
616582,894.57
617582,871.41
618584,906.18
619584,906.18
620585,882.98
621586,894.57
622587,906.18
623588,894.57
624589,906.18
625590,894.57
626591,882.98
627592,952.89
628593,882.98
629594,894.57
630595,882.98
631596,882.98
632597,836.86
633597,882.98
634599,836.86
635599,859.87
636600,871.41
637601,871.41
638602,871.41
639603,871.41
640604,836.86
641605,894.57
642606,906.18
643607,882.98
644608,894.57
645609,882.98
646609,882.98
647611,952.89
648611,894.57
649613,882.98
650613,859.87
651615,882.98
652615,882.98
653616,882.98
654617,882.98
655618,882.98
656619,802.53
657619,813.95
658621,952.89
659621,894.57
660623,894.57
661623,894.57
662625,894.57
663625,894.57
664627,871.41
665627,894.57
666629,894.57
667629,894.57
668631,906.18
669631,894.57
670632,871.41
671633,941.18
672633,929.49
673635,894.57
674635,894.57
675637,894.57
676637,882.98
677639,894.57
678639,871.41
679641,848.36
680641,836.86
681643,894.57
682643,906.18
683644,917.82
684645,836.86
685646,894.57
686647,882.98
687648,882.98
688649,882.98
689649,882.98
690651,894.57
691651,882.98
692653,882.98
693653,976.39
694654,894.57
695655,882.98
696656,917.82
697657,894.57
698658,894.57
699659,894.57
700660,906.18
701661,906.18
702662,882.98
703663,882.98
704664,882.98
705665,882.98
706665,882.98
707666,825.40
708667,871.41
709668,882.98
710669,882.98
711670,882.98
712671,906.18
713672,941.18
714673,882.98
715674,882.98
716675,894.57
717676,917.82
718676,871.41
719678,964.63
720678,882.98
721680,894.57
722680,906.18
723682,882.98
724682,929.49
725683,929.49
726684,894.57
727685,882.98
728686,941.18
729687,871.41
730688,906.18
731688,871.41
732690,882.98
733690,882.98
734692,882.98
735692,871.41
736694,894.57
737694,894.57
738696,894.57
739696,882.98
740698,894.57
741698,917.82
742700,882.98
743700,894.57
744700,836.86
745702,882.98
746702,882.98
747704,882.98
748704,871.41
749706,871.41
750706,871.41
751708,871.41
752708,882.98
753710,871.41
754710,871.41
755712,859.87
756712,871.41
757713,871.41
758714,882.98
759715,882.98
760716,871.41
761716,871.41
762718,894.57
763718,882.98
764720,871.41
765720,882.98
766722,871.41
767722,952.89
768723,871.41
769724,871.41
770725,871.41
771726,825.40
772727,871.41
773728,882.98
774729,871.41
775730,871.41
776731,859.87
777732,848.36
778733,882.98
779734,894.57
780734,871.41
781735,882.98
782736,871.41
783737,813.95
784738,871.41
785739,871.41
786740,871.41
787741,871.41
788742,859.87
789743,848.36
790744,859.87
791745,871.41
792745,906.18
793747,871.41
794747,882.98
795749,882.98
796749,871.41
797751,836.86
798751,859.87
799752,894.57
800753,871.41
801754,871.41
802755,859.87
803756,882.98
804757,871.41
805757,871.41
806759,859.87
807759,871.41
808761,894.57
809761,871.41
810763,871.41
811763,871.41
812765,871.41
813765,894.57
814767,871.41
815767,813.95
816769,871.41
817769,871.41
818769,871.41
819771,871.41
820771,836.86
821773,871.41
822773,859.87
823775,871.41
824775,848.36
825777,813.95
826777,871.41
827779,871.41
828779,871.41
829780,882.98
830781,859.87
831782,871.41
832783,964.63
833784,882.98
834785,871.41
835785,882.98
836787,882.98
837787,871.41
838789,825.40
839789,871.41
840791,871.41
841791,871.41
842792,894.57
843793,871.41
844794,848.36
845795,871.41
846796,859.87
847797,871.41
848798,871.41
849799,848.36
850800,952.89
851801,871.41
852802,859.87
853803,859.87
854803,859.87
855804,871.41
856805,848.36
857806,859.87
858807,859.87
859808,848.36
860809,859.87
861810,859.87
862811,871.41
863812,848.36
864813,848.36
865814,859.87
866814,871.41
867816,882.98
868816,871.41
869818,813.95
870818,871.41
871820,964.63
872820,871.41
873821,941.18
874822,859.87
875823,871.41
876824,871.41
877825,859.87
878826,859.87
879826,871.41
880828,871.41
881828,859.87
882830,859.87
883830,836.86
884832,859.87
885832,871.41
886834,882.98
887834,882.98
888836,882.98
889836,859.87
890838,906.18
891838,859.87
892838,859.87
893840,859.87
894840,871.41
895842,952.89
896842,906.18
897844,848.36
